SEANCE_DT, POINT_DT, ORBIT, WKT, HEIGHT, POINT_TYPE
"2019-03-12 06:14:24", "2019-03-12 06:15:39", 5793, "POINT(30.2483 55.0939)", -10.43, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:39", 5793, "POINT(-13.4419 64.4737)", -10.43, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:41", 5793, "POINT(30.3317 55.1873)", -9.71, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:41", 5793, "POINT(-13.8314 64.5992)", -9.71, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:43", 5793, "POINT(30.4160 55.2810)", -8.99, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:43", 5793, "POINT(-14.2453 64.7246)", -8.99, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:45", 5793, "POINT(30.5003 55.3743)", -8.27, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:45", 5793, "POINT(-14.6830 64.8485)", -8.27, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:47", 5793, "POINT(30.5855 55.4678)", -7.55, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:47", 5793, "POINT(-15.1524 64.9721)", -7.55, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:49", 5793, "POINT(30.6707 55.5609)", -6.82, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:49", 5793, "POINT(-15.6544 65.0938)", -6.82, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:51", 5793, "POINT(30.7567 55.6544)", -6.09, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:51", 5793, "POINT(-16.2005 65.2146)", -6.09, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:54", 5793, "POINT(30.8428 55.7473)", -5.37, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:54", 5793, "POINT(-16.7954 65.3328)", -5.37, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:56", 5793, "POINT(30.9297 55.8406)", -4.63, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:56", 5793, "POINT(-17.4594 65.4490)", -4.63, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:15:58", 5793, "POINT(31.0167 55.9333)", -3.90, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:15:58", 5793, "POINT(-18.2099 65.5610)", -3.90, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:00", 5793, "POINT(31.1046 56.0265)", -3.16, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:00", 5793, "POINT(-19.0975 65.6679)", -3.16, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:02", 5793, "POINT(31.1925 56.1191)", -2.43, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:02", 5793, "POINT(-20.2145 65.7643)", -2.43, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:04", 5793, "POINT(31.2812 56.2120)", -1.70, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:04", 5793, "POINT(-22.0019 65.8318)", -1.70, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:07", 5793, "POINT(31.3701 56.3045)", -0.97, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:07", 5793, "POINT(-23.5755 65.8880)", -0.97, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:09", 5793, "POINT(31.4568 56.3943)", -0.25, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:09", 5793, "POINT(-23.6145 66.0013)", -0.25, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:11", 5793, "POINT(31.5470 56.4870)", 0.50, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:11", 5793, "POINT(-23.6550 66.1184)", 0.50, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:13", 5793, "POINT(31.6377 56.5796)", 1.25, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:13", 5793, "POINT(-23.6959 66.2354)", 1.25, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:15", 5793, "POINT(31.7284 56.6717)", 1.99, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:15", 5793, "POINT(-23.7368 66.3518)", 1.99, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:17", 5793, "POINT(31.8200 56.7642)", 2.75, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:17", 5793, "POINT(-23.7782 66.4686)", 2.75, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:19", 5793, "POINT(31.9108 56.8553)", 3.49, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:19", 5793, "POINT(-23.8193 66.5838)", 3.49, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:21", 5793, "POINT(32.0035 56.9476)", 4.25, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:21", 5793, "POINT(-23.8613 66.7006)", 4.25, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:24", 5793, "POINT(32.0961 57.0394)", 5.01, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:24", 5793, "POINT(-23.9033 66.8167)", 5.01, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:26", 5793, "POINT(32.1897 57.1315)", 5.77, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:26", 5793, "POINT(-23.9459 66.9334)", 5.77, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:28", 5793, "POINT(32.2834 57.2231)", 6.53, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:28", 5793, "POINT(-23.9886 67.0494)", 6.53, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:30", 5793, "POINT(32.3780 57.3151)", 7.30, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:30", 5793, "POINT(-24.0318 67.1659)", 7.30, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:32", 5793, "POINT(32.4731 57.4069)", 8.07, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:32", 5793, "POINT(-24.0754 67.2823)", 8.07, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:34", 5793, "POINT(32.5683 57.4983)", 8.84, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:34", 5793, "POINT(-24.1190 67.3982)", 8.84, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:36", 5793, "POINT(32.6623 57.5878)", 9.60, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:36", 5793, "POINT(-24.1622 67.5118)", 9.60, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:39", 5793, "POINT(32.7585 57.6790)", 10.37, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:39", 5793, "POINT(-24.2065 67.6275)", 10.37, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:41", 5793, "POINT(32.8557 57.7705)", 11.15, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:41", 5793, "POINT(-24.2513 67.7437)", 11.15, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:43", 5793, "POINT(32.9530 57.8614)", 11.93, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:43", 5793, "POINT(-24.2963 67.8593)", 11.93, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:45", 5793, "POINT(33.0513 57.9528)", 12.71, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:45", 5793, "POINT(-24.3419 67.9753)", 12.71, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:47", 5793, "POINT(33.1496 58.0435)", 13.49, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:47", 5793, "POINT(-24.3876 68.0908)", 13.49, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:49", 5793, "POINT(33.2490 58.1347)", 14.28, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:49", 5793, "POINT(-24.4338 68.2067)", 14.28, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:51", 5793, "POINT(33.3484 58.2253)", 15.06, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:51", 5793, "POINT(-24.4802 68.3221)", 15.06, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:54", 5793, "POINT(33.4484 58.3158)", 15.85, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:54", 5793, "POINT(-24.5270 68.4373)", 15.85, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:16:56", 5793, "POINT(33.5495 58.4066)", 16.65, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:16:56", 5793, "POINT(-24.5743 68.5531)", 16.65, "OCCULTATION"
